Sentence #	Word	Pos	Tag
Sentence: 1	Poslovanje	Ncnsn	O
	:	Z	O
	Istraživanje	Ncnsn	O
	pokazuje	Vmr3s	O
	kako	Cs	O
	raste	Vmr3s	O
	broj	Ncmsn	O
	Europljana	Npmpg	B-per
	suočenih	Appmpgy	O
	sa	Si	O
	siromaštvom	Ncnsi	O
Sentence: 2	Više	Rgc	O
	od	Sg	O
	dvije	Mlcf-n	O
	trećine	Ncfpg	O
	Grka	Npmpg	B-per
	kaže	Vmr3s	O
	kako	Cs	O
	su	Var3p	O
	postali	Vmp-pm	O
	siromašniji	Agcmpny	O
	,	Z	O
	a	Cc	O
	slični	Agpmpny	O
	se	Px--sa	O
	rezultati	Ncmpn	O
	bilježe	Vmr3p	O
	i	Cc	O
	u	Sl	O
	susjednim	Agpfply	O
	zemljama	Ncfpl	O
	.	Z	O
Sentence: 3	Od	Sg	O
	ostalih	Agpfpgy	O
	vijesti	Ncfpg	O
	iz	Sg	O
	poslovanja	Ncnsg	O
	:	Z	O
	zajednička	Agpfsny	O
	hrvatsko-mađarska	Agpfsny	O
	tvrtka	Ncfsn	O
	otkrila	Vmp-sf	O
	prirodni	Agpmsayn	O
	plin	Ncmsan	O
	na	Sl	O
	polju	Ncnsl	O
	Zalata-Dravica	Npfsn	B-loc
	.	Z	O
Sentence: 4	Žena	Ncfsn	O
	prosi	Vmr3s	O
	novac	Ncmsan	O
	u	Sl	O
	Ateni	Npfsl	B-loc
	.	Z	O
Sentence: 5	U	Sl	O
	Grčkoj	Npfsl	B-loc
	raste	Vmr3s	O
	razina	Ncfsn	O
	siromaštva	Ncnsg	O
	kao	Cs	O
	posljedica	Ncfsn	O
	globalne	Agpfsgy	O
	financijske	Agpfsgy	O
	krize	Ncfsg	O
	i	Cc	O
	sloma	Ncmsg	O
	državnog	Agpmsgy	O
	proračuna	Ncmsg	O
	.	Z	O
Sentence: 6	60%	Mds	O
	Europljana	Npmpg	B-per
	smatra	Vmr3s	O
	kako	Cs	O
	je	Var3s	O
	siromaštvo	Ncnsn	O
	na	Sl	O
	kontinentu	Ncmsl	O
	povećano	Appnsny	O
	,	Z	O
	navodi	Vmr3s	O
	se	Px--sa	O
	u	Sl	O
	istraživanju	Ncnsl	O
	Eurobarometra	Ncmsg	B-org
	o	Sl	O
	socijalnom	Agpmsly	O
	učinku	Ncmsl	O
	globalne	Agpfsgy	O
	financijske	Agpfsgy	O
	krize	Ncfsg	O
	,	Z	O
	objavljenom	Appnsly	O
	u	Sa	O
	utorak	Ncmsan	O
	,	Z	O
	22.	Mdo	O
	lipnja	Ncmsg	O
	.	Z	O
Sentence: 7	U	Sl	O
	Grčkoj	Npfsl	B-loc
	85%	Mds	O
	ljudi	Ncmpg	O
	smatra	Vmr3s	O
	kako	Cs	O
	su	Var3p	O
	siromašniji	Agcmpny	O
	u	Sl	O
	odnosu	Ncmsl	O
	na	Sa	O
	prošlu	Agpfsay	O
	godinu	Ncfsa	O
	.	Z	O
Sentence: 8	Bugarska	Npfsn	B-loc
	je	Var3s	O
	sljedeća	Agpfsny	O
	s	Si	O
	82%	Mds	O
	,	Z	O
	dok	Cs	O
	77%	Mds	O
	ljudi	Ncmpg	O
	u	Sl	O
	Rumunjskoj	Npfsl	B-loc
	smatra	Vmr3s	O
	kako	Cs	O
	im	Pp3-pd	O
	se	Px--sa	O
	situacija	Ncfsn	O
	pogoršava	Vmr3s	O
	.	Z	O
Sentence: 9	Na	Sl	O
	Cipru	Npmsl	B-loc
	je	Var3s	O
	66%	Mds	O
	ispitanika	Ncmpg	O
	iskusilo	Vmp-sn	O
	pogoršanje	Ncnsa	O
	svoje	Px-fsg	O
	financijske	Agpfsgy	O
	situacije	Ncfsg	O
	tijekom	Sg	O
	proteklih	Agpmpgy	O
	12	Mdc	O
	mjeseci	Ncmpg	O
	.	Z	O
Sentence: 10	Niskobudžetni	Agpmsny	O
	avioprijevoznik	Ncmsn	O
