Sentence #	Word	Pos	Tag
Sentence: 1	Proces	Ncmsn	O
	privatizacije	Ncfsg	O
	na	Sl	O
	Kosovu	Npnsl	B-loc
	pod	Si	O
	lupom	Ncfsi	O
Sentence: 2	Kosovo	Npnsn	B-loc
	ozbiljno	Rgp	O
	analizira	Vmr3s	O
	svoje	Px-mpa	O
	procese	Ncmpa	O
	privatizacije	Ncfsg	O
	u	Sl	O
	svetlu	Ncnsl	O
	čestih	Agpfpgy	O
	pritužbi	Ncfpg	O
	.	Z	O
Sentence: 3	Bar	Rgp	O
	na	Sl	O
	papiru	Ncmsl	O
	,	Z	O
	to	Pd-nsn	O
	izgleda	Vmr3s	O
	kao	Cs	O
	odlična	Agpfsny	O
	ideja	Ncfsn	O
	.	Z	O
Sentence: 4	Vlada	Ncfsn	O
	prodaje	Vmr3s	O
	preduzeća	Ncnpa	O
	,	Z	O
	rešava	Vmr3s	O
	se	Px--sa	O
	tereta	Ncmsg	O
	upravljanja	Ncnsg	O
	njima	Pp3-pi	O
	,	Z	O
	a	Cc	O
	novac	Ncmsn	O
	od	Sg	O
	prodaje	Ncfsg	O
	pomaže	Vmr3s	O
	u	Sl	O
	finansiranju	Ncnsl	O
	državnog	Agpmsgy	O
	budžeta	Ncmsg	O
	.	Z	O
Sentence: 5	Ali	Cc	O
	,	Z	O
	na	Sl	O
	Kosovu	Npnsl	B-loc
	,	Z	O
	kritičari	Ncmpn	O
	kažu	Vmr3p	O
	da	Cs	O
	je	Var3s	O
	pravni	Agpmsny	O
	proces	Ncmsn	O
	vezan	Appmsnn	O
	za	Sa	O
	privatizaciju	Ncfsa	O
	složen	Appmsnn	O
	i	Cc	O
	politički	Rgp	O
	nabijen	Agpmsnn	O
	,	Z	O
	što	Pi3n-n	O
	će	Var3s	O
	imati	Vmn	O
	dugoročan	Agpmsann	O
	uticaj	Ncmsan	O
	na	Sa	O
	ekonomiju	Ncfsa	O
	.	Z	O
Sentence: 6	Oni	Pp3mpn	O
	kažu	Vmr3p	O
	da	Cs	O
	neki	Pi-mpn	O
	vlasnici	Ncmpn	O
	i	Cc	O
	zaposleni	Agpmpny	O
	mogu	Vmr3p	O
	da	Cs	O
	koriste	Vmr3p	O
	određene	Agpfpay	O
	rupe	Ncfpa	O
	u	Sl	O
	zakonu	Ncmsl	O
	,	Z	O
	dok	Cs	O
	ostali	Agpmpny	O
	ne	Qz	O
	dobijaju	Vmr3p	O
	gotovo	Rgp	O
	ništa	Pi3n-a	O
	.	Z	O
Sentence: 7	Tu	Rgp	O
	je	Var3s	O
	i	Cc	O
	etnička	Agpfsny	O
	komponenta	Ncfsn	O
	,	Z	O
	s	Si	O
	obzirom	Ncmsi	O
	da	Cs	O
	pojedinci	Ncmpn	O
	iz	Sg	O
	različitih	Agpfpgy	O
